COUNTRY,CYCLE YEAR 1,CYCLE YEAR 2,ARTICLE/GR,CEDAW RECOMMENDATION,IMPLEMENTATION STATUS ,STATE ACTION,CATEGORY 1,INCOME STATUS,HUMANITARIAN CRISIS STATUS,Form of violence,Form of violence 2,Intersectional features,CSO commentary,Completed row? (Y/N),Violence,Forced,Sexual harassment,IPV,Femicide,FGM,Stalking,Rape,Forced marriage,Combined GBV
MALAWI,2008,2014,Article 2,"""strengthen its efforts to disseminate the Convention widely to the general public so as to create awareness of women’s human rights and to raise the awareness of legislators and the general public concerning the urgent need to prioritize legal reforms to achieve de jure equality for women""",Partial,"Government Programmes: Gender Equality and Women Empowerment; National Response to Combat Gender Based Violence; ; Increasing Women Representation in Parliament and Local Government dubbed the “50:50 Campaign”; Women, Girls and HIV and AIDS; Gender Mainstreaming",Awareness campaign,Low ,N ,,,,,,1,0,0,0,0,0,0,0,0,1
MALAWI,2008,2014,General recommendation 19,"""strengthen its efforts to effectively implement existing legislative measures and to address all forms of violence against women, including domestic violence""",Implemented,"Two statutes: Child Care, Protection and Justice Act; and the Gender Equality Act. These ""have clearly provided for prohibition of harmful practices. The former, prohibits subjection of a child to a social or customary practice that is harmful to the health or general development of the child. ... The latter prohibits commission of, engagement in, subjecting another to and encouraging the commission of a harmful practice""",Legislation/policy change,Low ,N ,,,,,,1,0,0,0,0,0,0,0,0,1
MALAYSIA,2006,2016,Constitution & legislation changes ,include adequate sanctions for acts of discrimination against women ,Implemented,"""The Penal Code was amended in 2006 to increase the penalties for offences relating to rape and incest and its implication in protecting the principle of non discrimination""",Legislation/policy change,Upper middle ,N,,,,,,0,0,0,0,0,0,0,1,0,1
MALAYSIA,2006,2016,Violence against women,"""enact legislation criminalizing marital rape""",Not implemented,""" “marital rape” is not explicitly stipulated in the provision, it
is clear that section 375A mainly intends to further strengthen legal protection""",Legislation/policy change,Upper middle ,N,,,,,,1,0,0,0,0,0,0,1,0,1
MALDIVES,2007,2013,General recommendation 19,"""enact legislation on domestic violence and on all forms of sexual abuse … so that violence...violence against women and girls constitutes a criminal offence""",Implemented,"""The Domestic Violence bill was passed … Sexual harassment bill…Human Trafficking and People Smuggling Bill….Penal Code"" ",Access to justice (legal aid and legal protection),Upper middle ,N,,,,,,1,0,1,0,0,0,0,0,0,1
MALDIVES,2007,2013,General recommendation 19,""" women and girls who are victims of violence have access to immediate
means of redress and protection""",Implemented,"""Family and Children’s Service Centers (FCSC) in every atoll to coordinate the process of reporting abuse against women and children between the police and health centres""",Access to justice (responses and remedies for injustice),Upper middle ,N,,,,,,1,0,0,0,0,0,0,0,0,1
MALDIVES,2007,2013,General recommendation 19,"""further public awareness-raising campaigns""",Implemented,"""May 2009, the Government, in partnership with the United Nations, launched a two-year programme to raise awareness on gender-based violence, develop social support and counselling, provide women with legal options, and advise them on economic opportunities""",Awareness campaign,Upper middle ,N,,,,,,1,0,0,0,0,0,0,0,0,1
MALDIVES,2007,2013,General recommendation 19,"""recommends the implementation of
training …  to ensure they are sensitised to all forms of violence""",Unacknowledged,N/A,Capacity building,Upper middle ,N,,,,,,1,0,0,0,0,0,0,0,0,1
MAURITANIA,2012,2020,Article 12,Combat all forms of  violence against women,Partial,"Establishment of a system that takes concerted and coordinated account of the different aspects of the problem of gender-based violence

Establishment of three sexual-violence counselling centres, run by nongovernmental organizations and supported by the Ministry of Social Affairs, Children and the Family

Establishment of a National Committee against Gender-based Violence, including Female Genital Mutilation

Creation in 2008 of a technical unit to combat gender-based violence, including female genital mutilation

Preparation of a survey on all forms of violence, scheduled for 2011

Plans for a national strategy against gender-based violence",Awareness campaign,Lower middle ,N ,,,,,,1,0,0,0,0,1,0,0,0,1
MAURITANIA,2012,2020,"Article 3, Article 14(2)(b)&(d)","The Committee recommends that the State party:

Further strengthen its efforts to disseminate information on the Convention and ensure that women, including those in rural areas have access to such information;
",Implemented,"To implement this recommendation, the government has organized several awareness campaigns on the provisions of CEDAW, especially in the most isolated and poorest rural communities (i.e. the rural communities in 'the Triangle of Hope': areas containing a concentration of extreme poverty, the municipalities located on the  borders with Mali and the municipalities located on the river banks), through:

- Public and private media (televised debates. national fairs and exhibitions)
- Parades organised annually fr International Women's Day on 8th March
- International Day for the Elimination of Violence against Women on 25 November 
- Ongoing development and implementation of a strategic plan to combat domestic violence
- Two large awareness-raising processions about domestic violence's were carried out it several provinces throughout the country
- A 'toolkit' containing a variety of communications was produced with a strong involvement from local communities
- The development and dissemination of a religious argument in favour of abolishing domestic violence.",Governance and coordination,Lower middle ,N ,,,,,,1,0,0,0,0,0,0,0,0,1
MAURITANIA,2012,2020,Article 3,"Complete the process of establishing a women’s rights observatory that would contribute to monitoring the situation of women throughout the country, such as by identifying de facto discrimination faced by women and the measures to tackle such discrimination.",Partial,"In relation to the establishment of a national observatory for women's rights, two consultants were recruited with the support of the OHCHR office: to conduct a study on the national observatory model for the promotion of women's rights, and the fight against gender-based violence; to analyse the legislative and regulatory provisions on female participation; to define the goals, operation and possibly the composition of the observatory; and to prepare a draft decree of the observatory.

The study was carried out in a session which brought together all the actors (public authorities, civil society, unions, parliamentarians, key resources persons), and which incorporated observations and remarks  into the study. The report was sent to the Ministry in charge of the Promotion of Women, which then started the procedure for adopting the draft decree of the Observatory in the Council of Ministers.

The bill on fighting violence against women and girls, approved by the Council of Ministers, provides for the establishment of mechanisms for the early detection of violence against women and girls, within the family, school, university and professional framework, by creating an appropriate monitoring institution.",Legislation/policy change,Lower middle ,N ,,,,,,1,0,0,0,0,0,0,0,0,1
MAURITANIA,2012,2020,General recommendation 19,"The Committee urges the State party:

To expedite the adoption of legislation criminalizing female genital mutilation and to address its harmful consequences for the lives of women;

",Partial,"The Law No. 2017-025 of 15 November 2017 relating to reproductive health and which criminalizes FGM was passed and was widely disseminated among health personnel.

The Law 2018-024 of 21 June 2018 on the General Code for the Protection of the Child, which punishes in article 79 FGM and assimilates it to cruel, inhuman or degrading treatment: “are assimilated to cruel, inhuman or degrading treatment , harmful excision and any other assimilated practice carried out on female children, negative customary, cultural and social practices undermining the physical integrity, health or dignity of the child ”. This removes any ambiguity as to the interpretation of FGM as well as any negative customary, cultural or social practices that undermine the physical integrity, health or dignity of the child.

Article 12 of the Code of Criminal Protection of the Child criminalises and punishes any attack on the genital organ of a female child, by infibulation, numbing or by any other means resulting in harm to the child. The penalty is increased when the perpetrator is a member of the medical or paramedical profession.

The bill on combating violence against women and girls, approved by the Council of Ministers, punishes female genital mutilation and all other practices harmful to the health of women and girls.

The national reproductive health program has included a component on repairing fistulas into society through income-generating activities and the provision of material assistance.

The National Health Information System takes charge of fistula cases in the collection of routine data.

FGM was taken into account in the 2007 MICS surveys; 2011; 2015 and by the EDS questionnaire being finalized.

Health professionals were the pioneers in the fight against FGM in Mauritania and it was through their declaration that the clerics issued two fatwas (opinions of Muslim jurists) prohibiting FGM, one national and one sub-regional. Several staff awareness workshops were organized.

More than 1,600 women's cooperatives across the country bringing together female circumcisers, especially in high-prevalence areas, have benefited from AGR funding.

The strategic needs of rural women are taken into account as a priority by development projects in rural areas and particular attention is given to poor households headed by women.

",Legislation/policy change,Lower middle ,N ,,,,,,1,0,0,0,0,1,0,0,0,1
MAURITANIA,2012,2020,"General recommendation 19,
General recommendation 24","To raise the awareness of health practitioners regarding female genital mutilation and the remedies and assistance available to victims, including psychological counselling;

",Partial,"The Law No. 2017-025 of 15 November 2017 relating to reproductive health and which criminalizes FGM was passed and was widely disseminated among health personnel.

The Law 2018-024 of 21 June 2018 on the General Code for the Protection of the Child, which punishes in article 79 FGM and assimilates it to cruel, inhuman or degrading treatment: “are assimilated to cruel, inhuman or degrading treatment , harmful excision and any other assimilated practice carried out on female children, negative customary, cultural and social practices undermining the physical integrity, health or dignity of the child ”. This removes any ambiguity as to the interpretation of FGM as well as any negative customary, cultural or social practices that undermine the physical integrity, health or dignity of the child.

Article 12 of the Code of Criminal Protection of the Child criminalises and punishes any attack on the genital organ of a female child, by infibulation, numbing or by any other means resulting in harm to the child. The penalty is increased when the perpetrator is a member of the medical or paramedical profession.

The bill on combating violence against women and girls, approved by the Council of Ministers, punishes female genital mutilation and all other practices harmful to the health of women and girls.

The national reproductive health program has included a component on repairing fistulas into society through income-generating activities and the provision of material assistance.

The National Health Information System takes charge of fistula cases in the collection of routine data.

FGM was taken into account in the 2007 MICS surveys; 2011; 2015 and by the EDS questionnaire being finalized.

Health professionals were the pioneers in the fight against FGM in Mauritania and it was through their declaration that the clerics issued two fatwas (opinions of Muslim jurists) prohibiting FGM, one national and one sub-regional. Several staff awareness workshops were organized.

More than 1,600 women's cooperatives across the country bringing together female circumcisers, especially in high-prevalence areas, have benefited from AGR funding.

The strategic needs of rural women are taken into account as a priority by development projects in rural areas and particular attention is given to poor households headed by women.

",Health systems strengthening,Lower middle ,N ,,,,,,1,0,0,0,0,1,0,0,0,1
MAURITANIA,2012,2020,General recommendation 19,"To amend its legislation on the judicial protection of children in order to prosecute practitioners whenever female genital mutilation occurs;

",Partial,"The Law No. 2017-025 of 15 November 2017 relating to reproductive health and which criminalizes FGM was passed and was widely disseminated among health personnel.

The Law 2018-024 of 21 June 2018 on the General Code for the Protection of the Child, which punishes in article 79 FGM and assimilates it to cruel, inhuman or degrading treatment: “are assimilated to cruel, inhuman or degrading treatment , harmful excision and any other assimilated practice carried out on female children, negative customary, cultural and social practices undermining the physical integrity, health or dignity of the child ”. This removes any ambiguity as to the interpretation of FGM as well as any negative customary, cultural or social practices that undermine the physical integrity, health or dignity of the child.

Article 12 of the Code of Criminal Protection of the Child criminalises and punishes any attack on the genital organ of a female child, by infibulation, numbing or by any other means resulting in harm to the child. The penalty is increased when the perpetrator is a member of the medical or paramedical profession.

The bill on combating violence against women and girls, approved by the Council of Ministers, punishes female genital mutilation and all other practices harmful to the health of women and girls.

The national reproductive health program has included a component on repairing fistulas into society through income-generating activities and the provision of material assistance.

The National Health Information System takes charge of fistula cases in the collection of routine data.

FGM was taken into account in the 2007 MICS surveys; 2011; 2015 and by the EDS questionnaire being finalized.

Health professionals were the pioneers in the fight against FGM in Mauritania and it was through their declaration that the clerics issued two fatwas (opinions of Muslim jurists) prohibiting FGM, one national and one sub-regional. Several staff awareness workshops were organized.

More than 1,600 women's cooperatives across the country bringing together female circumcisers, especially in high-prevalence areas, have benefited from AGR funding.

The strategic needs of rural women are taken into account as a priority by development projects in rural areas and particular attention is given to poor households headed by women.

",Legislation/policy change,Lower middle ,N ,,,,,,1,0,0,0,0,1,0,0,0,1
MAURITANIA,2012,2020,General recommendation 19,"To strengthen efforts to raise awareness of the negative impact of female genital mutilation on the lives of women and recognize it as a human rights violation;
",Partial,"The Law No. 2017-025 of 15 November 2017 relating to reproductive health and which criminalizes FGM was passed and was widely disseminated among health personnel.

The Law 2018-024 of 21 June 2018 on the General Code for the Protection of the Child, which punishes in article 79 FGM and assimilates it to cruel, inhuman or degrading treatment: “are assimilated to cruel, inhuman or degrading treatment , harmful excision and any other assimilated practice carried out on female children, negative customary, cultural and social practices undermining the physical integrity, health or dignity of the child ”. This removes any ambiguity as to the interpretation of FGM as well as any negative customary, cultural or social practices that undermine the physical integrity, health or dignity of the child.

Article 12 of the Code of Criminal Protection of the Child criminalises and punishes any attack on the genital organ of a female child, by infibulation, numbing or by any other means resulting in harm to the child. The penalty is increased when the perpetrator is a member of the medical or paramedical profession.

The bill on combating violence against women and girls, approved by the Council of Ministers, punishes female genital mutilation and all other practices harmful to the health of women and girls.

The national reproductive health program has included a component on repairing fistulas into society through income-generating activities and the provision of material assistance.

The National Health Information System takes charge of fistula cases in the collection of routine data.

FGM was taken into account in the 2007 MICS surveys; 2011; 2015 and by the EDS questionnaire being finalized.

Health professionals were the pioneers in the fight against FGM in Mauritania and it was through their declaration that the clerics issued two fatwas (opinions of Muslim jurists) prohibiting FGM, one national and one sub-regional. Several staff awareness workshops were organized.

More than 1,600 women's cooperatives across the country bringing together female circumcisers, especially in high-prevalence areas, have benefited from AGR funding.

The strategic needs of rural women are taken into account as a priority by development projects in rural areas and particular attention is given to poor households headed by women.

",Awareness campaign,Lower middle ,N ,,,,,,1,0,0,0,0,1,0,0,0,1
MAURITANIA,2012,2020,General recommendation 19,To provide alternative means of livelihood for practitioners of female genital mutilation as a source of alternative income.,Unacknowledged,No state action taken ,Legislation/policy change,Lower middle ,N ,,,,,,0,0,0,0,0,1,0,0,0,1
MAURITANIA,2012,2020,General recommendation 19,"In line with its general recommendation No. 19 on violence against women, the Committee urges the State party:

To complete the adoption of a law on violence against women and a national action plan on violence against women and girls, covering physical, psychological and sexual violence, having set a time frame for doing so;

",Partial,"The bill on combating violence against women and girls was approved by the Council of Ministers and is in the process of being adopted by parliament. This bill takes into account the different forms of violence against women and girls, including physical, psychological and sexual.

A national strategy to combat violence against women was adopted in December 2019. Its implementation is continuing.",Legislation/policy change,Lower middle ,N ,,,,,,1,0,0,0,0,0,0,0,0,1
MAURITANIA,2012,2020,General recommendation 19,To define rape as a criminal offence in the Criminal Code in line with international human rights standards;,Implemented,"Rape is criminalized and severely punished by article 309 of the Penal Code and article 24 of the Criminal Child Protection Code. Criminal policy through the guidelines, instructions and circulars of the public prosecutor attach particular importance to such offenses, the perpetrators of which are arrested, prosecuted and tried in accordance with the law. They are also excluded from the benefit of sentence adjustments (conditional release and presidential pardon).

The bill, currently being adopted, defines rape, sexual harassment, incest and all other forms of physical and psychological violence, including conjugal violence, and qualifies them as serious offenses that results in appropriate sanctions in accordance with international standards.",Legislation/policy change,Lower middle ,N ,,,,,,1,0,1,0,0,0,0,1,0,1
MAURITANIA,2012,2020,"Article 2, Article 5(a), General recommendation 19","The Committee recommends that the State party:

Adopt comprehensive legislation and policies aimed at combating all forms of trafficking, which must endorse measures to prevent trafficking, including early warning systems, identification, prosecution and conviction of perpetrators and protection for girls and women who are victims through psychosocial support and legal aid;",Implemented,"Law No. 2003-025 of July 17, 2003 on the suppression of human trafficking defines trafficking as “the recruitment, transport, transfer of persons by force or the use of force or threat, or to other forms of coercion, by kidnapping, deception, abuse of authority or the exploitation of a vulnerable situation or by offering the acceptance of payment or benefit to obtain the consent of a person having authority over another for exploitation. Exploitation includes, at a minimum, unpaid labour, forced labour or services and similar practices, organ removal for profit, exploitation of the prostitution of others or other forms of sexual exploitation” (article 1).

It qualifies human trafficking as a serious crime and punishes perpetrators and accomplices with appropriate sanctions.

A bill relating to the prevention and repression of trafficking in persons and the protection of victims, repealing and replacing Act No. 2003-025 of July 17, 2003, establishes the penal provisions, prevention and measures of support and protection of victims of trafficking, as well as cooperation and partnership mechanisms.

Legal aid for victims of migrant trafficking, who are particularly vulnerable and those who are minors, is guaranteed by Law 2010-021 of 10 February 2010, which fights against the smuggling of migrants and which orders the appointment of a legal counsel to these victims. 

The phenomenon of trafficking in Mauritania was the subject of a diagnostic study carried out by the Office of the Commissioner for Human Rights, Humanitarian Action and Relations with Civil Society in 2019. The study showed that Mauritania is increasingly becoming a country of both transit and destination.

The National Action Plan to Combat Trafficking in Persons (PANTP) has been adopted. It has been the subject of wide consultations and exchanges with the ministerial departments concerned, technical and financial partners and international organizations. The action plan aims to provide the public authorities with an integrated planning instrument to effectively and sustainably combat trafficking, punish the perpetrators, identify, protect and assist victims and witnesses.

This action plan is articulated with national strategies, in particular the SCAPP, the National Strategy for Access to Justice (SNAJ), the National Strategy for Migration Management and the National Strategy for the Protection of Children (SNPE). ). The PANTP (2020-2022) is structured around the following objectives:

- Prevention of human trafficking through awareness raising
- Documentation of the phenomenon of trafficking;
- Capacity building of those involved;
- Improving the legal framework for trafficking;
- The strengthening of judicial repression of trafficking offenses
- Protection of victims and witnesses of trafficking
- Assistance to victims of trafficking through social reintegration and / or voluntary return
- National coordination of the fight against trafficking
- Regional and international cooperation in the fight against trafficking.

As a transnational offense, the fight against trafficking in persons makes international criminal cooperation essential. This cooperation allows:
- The circulation of information relating to trafficking networks and other organized criminal groups
- Mutual criminal assistance
- Cooperation between the competent services
- The sharing of experience on the operating methods of organized criminal groups
- The voluntary return of victims of trafficking to their countries of origin

A country of transit and destination, Mauritania has developed effective sub regional (ECOWAS) and international (Spain) judicial cooperation.",Legislation/policy change,Lower middle ,N ,,,,,,0,1,0,0,0,0,0,0,0,1
MAURITANIA,2012,2020,Article 5(a),Establish partnerships with international organizations and civil society stakeholders to systematically collect information on trafficking in women and girls in the country;,Implemented,"Law No. 2003-025 of July 17, 2003 on the suppression of human trafficking defines trafficking as “the recruitment, transport, transfer of persons by force or the use of force or threat, or to other forms of coercion, by kidnapping, deception, abuse of authority or the exploitation of a vulnerable situation or by offering the acceptance of payment or benefit to obtain the consent of a person having authority over another for exploitation. Exploitation includes, at a minimum, unpaid labour, forced labour or services and similar practices, organ removal for profit, exploitation of the prostitution of others or other forms of sexual exploitation” (article 1).

It qualifies human trafficking as a serious crime and punishes perpetrators and accomplices with appropriate sanctions.

A bill relating to the prevention and repression of trafficking in persons and the protection of victims, repealing and replacing Act No. 2003-025 of July 17, 2003, establishes the penal provisions, prevention and measures of support and protection of victims of trafficking, as well as cooperation and partnership mechanisms.

Legal aid for victims of migrant trafficking, who are particularly vulnerable and those who are minors, is guaranteed by Law 2010-021 of 10 February 2010, which fights against the smuggling of migrants and which orders the appointment of a legal counsel to these victims. 

The phenomenon of trafficking in Mauritania was the subject of a diagnostic study carried out by the Office of the Commissioner for Human Rights, Humanitarian Action and Relations with Civil Society in 2019. The study showed that Mauritania is increasingly becoming a country of both transit and destination.

The National Action Plan to Combat Trafficking in Persons (PANTP) has been adopted. It has been the subject of wide consultations and exchanges with the ministerial departments concerned, technical and financial partners and international organizations. The action plan aims to provide the public authorities with an integrated planning instrument to effectively and sustainably combat trafficking, punish the perpetrators, identify, protect and assist victims and witnesses.

This action plan is articulated with national strategies, in particular the SCAPP, the National Strategy for Access to Justice (SNAJ), the National Strategy for Migration Management and the National Strategy for the Protection of Children (SNPE). ). The PANTP (2020-2022) is structured around the following objectives:

- Prevention of human trafficking through awareness raising
- Documentation of the phenomenon of trafficking;
- Capacity building of those involved;
- Improving the legal framework for trafficking;
- The strengthening of judicial repression of trafficking offenses
- Protection of victims and witnesses of trafficking
- Assistance to victims of trafficking through social reintegration and / or voluntary return
- National coordination of the fight against trafficking
- Regional and international cooperation in the fight against trafficking.

As a transnational offense, the fight against trafficking in persons makes international criminal cooperation essential. This cooperation allows:
- The circulation of information relating to trafficking networks and other organized criminal groups
- Mutual criminal assistance
- Cooperation between the competent services
- The sharing of experience on the operating methods of organized criminal groups
- The voluntary return of victims of trafficking to their countries of origin

A country of transit and destination, Mauritania has developed effective sub regional (ECOWAS) and international (Spain) judicial cooperation.",Multilateral assistance,Lower middle ,N ,,,,,,0,1,0,0,0,0,0,0,0,1
MAURITANIA,2012,2020,Article 5(a),"Develop international, bilateral, regional or multilateral cooperation, in particular with countries in the region, to address trafficking;

",Implemented,"Law No. 2003-025 of July 17, 2003 on the suppression of human trafficking defines trafficking as “the recruitment, transport, transfer of persons by force or the use of force or threat, or to other forms of coercion, by kidnapping, deception, abuse of authority or the exploitation of a vulnerable situation or by offering the acceptance of payment or benefit to obtain the consent of a person having authority over another for exploitation. Exploitation includes, at a minimum, unpaid labour, forced labour or services and similar practices, organ removal for profit, exploitation of the prostitution of others or other forms of sexual exploitation” (article 1).

It qualifies human trafficking as a serious crime and punishes perpetrators and accomplices with appropriate sanctions.

A bill relating to the prevention and repression of trafficking in persons and the protection of victims, repealing and replacing Act No. 2003-025 of July 17, 2003, establishes the penal provisions, prevention and measures of support and protection of victims of trafficking, as well as cooperation and partnership mechanisms.

Legal aid for victims of migrant trafficking, who are particularly vulnerable and those who are minors, is guaranteed by Law 2010-021 of 10 February 2010, which fights against the smuggling of migrants and which orders the appointment of a legal counsel to these victims. 

The phenomenon of trafficking in Mauritania was the subject of a diagnostic study carried out by the Office of the Commissioner for Human Rights, Humanitarian Action and Relations with Civil Society in 2019. The study showed that Mauritania is increasingly becoming a country of both transit and destination.

The National Action Plan to Combat Trafficking in Persons (PANTP) has been adopted. It has been the subject of wide consultations and exchanges with the ministerial departments concerned, technical and financial partners and international organizations. The action plan aims to provide the public authorities with an integrated planning instrument to effectively and sustainably combat trafficking, punish the perpetrators, identify, protect and assist victims and witnesses.

This action plan is articulated with national strategies, in particular the SCAPP, the National Strategy for Access to Justice (SNAJ), the National Strategy for Migration Management and the National Strategy for the Protection of Children (SNPE). ). The PANTP (2020-2022) is structured around the following objectives:

- Prevention of human trafficking through awareness raising
- Documentation of the phenomenon of trafficking;
- Capacity building of those involved;
- Improving the legal framework for trafficking;
- The strengthening of judicial repression of trafficking offenses
- Protection of victims and witnesses of trafficking
- Assistance to victims of trafficking through social reintegration and / or voluntary return
- National coordination of the fight against trafficking
- Regional and international cooperation in the fight against trafficking.

As a transnational offense, the fight against trafficking in persons makes international criminal cooperation essential. This cooperation allows:
- The circulation of information relating to trafficking networks and other organized criminal groups
- Mutual criminal assistance
- Cooperation between the competent services
- The sharing of experience on the operating methods of organized criminal groups
- The voluntary return of victims of trafficking to their countries of origin

A country of transit and destination, Mauritania has developed effective sub regional (ECOWAS) and international (Spain) judicial cooperation.",Multilateral assistance,Lower middle ,N ,,,,,,0,1,0,0,0,0,0,0,0,1
MAURITANIA,2012,2020,"Article 5(a), Article 11(1)(f)","Address the root causes of trafficking and prostitution and develop reintegration programmes for women and girls in prostitution, including alternative income-generating opportunities. ",Implemented,"Law No. 2003-025 of July 17, 2003 on the suppression of human trafficking defines trafficking as “the recruitment, transport, transfer of persons by force or the use of force or threat, or to other forms of coercion, by kidnapping, deception, abuse of authority or the exploitation of a vulnerable situation or by offering the acceptance of payment or benefit to obtain the consent of a person having authority over another for exploitation. Exploitation includes, at a minimum, unpaid labour, forced labour or services and similar practices, organ removal for profit, exploitation of the prostitution of others or other forms of sexual exploitation” (article 1).

It qualifies human trafficking as a serious crime and punishes perpetrators and accomplices with appropriate sanctions.

A bill relating to the prevention and repression of trafficking in persons and the protection of victims, repealing and replacing Act No. 2003-025 of July 17, 2003, establishes the penal provisions, prevention and measures of support and protection of victims of trafficking, as well as cooperation and partnership mechanisms.

Legal aid for victims of migrant trafficking, who are particularly vulnerable and those who are minors, is guaranteed by Law 2010-021 of 10 February 2010, which fights against the smuggling of migrants and which orders the appointment of a legal counsel to these victims. 

The phenomenon of trafficking in Mauritania was the subject of a diagnostic study carried out by the Office of the Commissioner for Human Rights, Humanitarian Action and Relations with Civil Society in 2019. The study showed that Mauritania is increasingly becoming a country of both transit and destination.

The National Action Plan to Combat Trafficking in Persons (PANTP) has been adopted. It has been the subject of wide consultations and exchanges with the ministerial departments concerned, technical and financial partners and international organizations. The action plan aims to provide the public authorities with an integrated planning instrument to effectively and sustainably combat trafficking, punish the perpetrators, identify, protect and assist victims and witnesses.

This action plan is articulated with national strategies, in particular the SCAPP, the National Strategy for Access to Justice (SNAJ), the National Strategy for Migration Management and the National Strategy for the Protection of Children (SNPE). ). The PANTP (2020-2022) is structured around the following objectives:

- Prevention of human trafficking through awareness raising
- Documentation of the phenomenon of trafficking;
- Capacity building of those involved;
- Improving the legal framework for trafficking;
- The strengthening of judicial repression of trafficking offenses
- Protection of victims and witnesses of trafficking
- Assistance to victims of trafficking through social reintegration and / or voluntary return
- National coordination of the fight against trafficking
- Regional and international cooperation in the fight against trafficking.

As a transnational offense, the fight against trafficking in persons makes international criminal cooperation essential. This cooperation allows:
- The circulation of information relating to trafficking networks and other organized criminal groups
- Mutual criminal assistance
- Cooperation between the competent services
- The sharing of experience on the operating methods of organized criminal groups
- The voluntary return of victims of trafficking to their countries of origin

A country of transit and destination, Mauritania has developed effective sub regional (ECOWAS) and international (Spain) judicial cooperation.",Legislation/policy change,Lower middle ,N ,,,,,,0,1,0,0,0,0,0,0,0,1
MAURITANIA,2012,2020,Article 10(h),Adopt preventive strategies to combat the risk of sexual harassment and abuse of girls at school and ensure that perpetrators are punished;,Inadequate response,"The government has implemented a national education strategy, the main objective of which is to guarantee all Mauritanian children without distinction a complete and quality education through;

- Improving the educational offer by setting up a new organization of the educational offer;
- Elimination of gender disparities in all provinces and between socio-economic backgrounds;
- Strengthening the quality of teaching;
- Improving the management of the system by establishing a results-based management approach.

The measures taken to promote the education of girls are:

- The urbanization of rural populations through groupings of villages (N’Beiket Lehwash, Oum Sfeya, Termesse, Bourat, Saboualla and Boulahrath);
- The establishment of a committed policy that has made the education of girls a priority, the emphasis has been placed on reducing the disparity between girls and boys and that of rural and urban areas;
- The significant increase in the budget allocated to education;
- Expansion of the network of primary schools, especially in rural areas;
- Bringing schools closer to families;
- Increasing the number of teachers and improving their level of qualification.

The pilot projects for the education of girls in remote areas include several measures aimed at attracting and retaining girls in school. These include, among others:
- The introduction of nutrition programs (school canteens);
- The installation of latrines, running water and specific toilets for girls;
- The availability of transport buses for girl students in rural areas;
- The creation of priority education zones in rural areas (ZEP);
- Campaigns against child marriage;
- Providing cash transfers to poor families conditional on sending children to school.

As part of the support provided to girls from rural areas, by the SWEDD project in order to continue their studies:
- Monthly scholarships have benefited nearly 2,400 vulnerable girls;
- Twelve buses provide school transport for girls at symbolic prices during the school year;
- Support courses in basic disciplines benefit girls who are candidates for national exams;
- Computers equipped and connected to the Internet, with free access for school girls, are open in establishments;
- Friendly spaces are reserved for girls aged 16 to 25. The girls develop personal skills to make informed choices and improve their immediate environment (health, hygiene, environment);
- Brochures in basic disciplines in 4th AS and 7NS are distributed to girls in establishments in intervention provinces.",Legislation/policy change,Lower middle ,N ,,,,,,0,0,1,0,0,0,0,0,0,1
MAURITANIA,2012,2020,"Article 4, Article 11(1)(f)","The Committee recommends that the State party:

Adopt comprehensive measures, including temporary special measures, capacity-building programmes aimed at creating job opportunities and on-the-job training for women, in particular young women, and establish childcare facilities and other services to help women and men to reconcile professional and family life;",Partial,"Unemployment, which is a global problem, is an absolute priority in Government policies. Young people and women benefit from particular attention through the implementation of a proactive policy based on gender.

An ambitious national employment strategy has been adopted, with an emphasis on the employment of women with the aim of providing them with decent jobs.

Any Employer performing an employment contract in Mauritania is bound by the obligation to provide his employee with social security coverage within eight days of being hired (Law No. 67-039 of February 3, 1967).

An actuarial study aimed at improving and extending the coverage of the Social Security scheme to other beneficiaries is being carried out with the assistance of the ILO.

The fight against sexual harassment in the workplace is a global concern. Even if the phenomenon is not widespread in our country, for reasons cultural and religious, in a preventive way, a reflection will be carried out to lead to the establishment of a mechanism to fight against this phenomenon.

Women workers employed as domestic workers have free access to the structures responsible for applying the law and have full freedom to file complaints. The complaints mechanisms before the labour inspectorates are simple, accessible and free.

Mauritania has ratified all of the ILO's fundamental labour conventions and incorporated them into its national legislation. As soon as this important instrument was adopted by the ILO (C 189) in 2011, the Government put in place regulations (Order No. 797 of 08/18/2011) dedicated to domestic work. It will favourably examine the ratification of this convention.

Labour inspections have been opened throughout the country with the main task of rigorous enforcement of the legislation.",Women's leadership and participation ,Lower middle ,N ,,,,,,0,0,1,0,0,0,0,0,0,1
